timestamp,cpu_percent,cpu_count,memory_percent,memory_used_gb,memory_available_gb,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,phase,sample_id
4.5299530029296875e-06,12.8,12,88.4,13.828788757324219,1.8233222961425781,890820.359375,634683.43359375,84.11308574676514,353.88035583496094,io_bound,0
0.6264462471008301,28.6,12,88.3,13.828102111816406,1.8240089416503906,890820.51171875,634683.5234375,84.1132640838623,353.8821134567261,io_bound,1
1.2599048614501953,11.5,12,88.3,13.825126647949219,1.8269844055175781,890820.51171875,634683.5234375,84.11389636993408,353.88347148895264,io_bound,2
1.885150671005249,2.6,12,88.3,13.820343017578125,1.8317680358886719,890820.51171875,634683.58203125,84.1140604019165,353.88365650177,io_bound,3
2.5125951766967773,6.4,12,88.3,13.819355010986328,1.8327560424804688,890820.57421875,634683.58203125,84.1140604019165,353.88365650177,io_bound,4
3.1416337490081787,6.0,12,88.3,13.819324493408203,1.8327865600585938,890820.57421875,634683.62109375,84.1148099899292,353.8841323852539,io_bound,5
3.775087594985962,10.6,12,88.3,13.821914672851562,1.8301963806152344,890820.69921875,634683.67578125,84.11555290222168,353.88458347320557,io_bound,6
4.38300895690918,0.0,12,88.3,13.82122802734375,1.8308830261230469,890820.69921875,634683.72265625,84.11555290222168,353.88458347320557,io_bound,7
5.013625621795654,11.1,12,88.3,13.819156646728516,1.8329544067382812,890820.79296875,634683.72265625,84.11642932891846,353.88526248931885,io_bound,8
5.629699945449829,15.6,12,88.4,13.844123840332031,1.8079872131347656,890826.9360351562,634685.72265625,84.11655521392822,353.88532543182373,io_bound,9
6.240496873855591,13.2,12,88.4,13.84262466430664,1.8094863891601562,890826.9360351562,634686.20703125,84.11725616455078,353.8853883743286,io_bound,10
6.850329399108887,16.5,12,88.5,13.846847534179688,1.8052635192871094,890827.0258789062,634686.28125,84.11882781982422,353.8909091949463,io_bound,11
7.570148468017578,28.3,12,88.9,13.911884307861328,1.7402267456054688,890829.2250976562,634686.3203125,84.12679195404053,353.9013147354126,io_bound,12
8.751030921936035,19.2,12,90.0,14.085803985595703,1.5663070678710938,890897.7314453125,634686.48046875,84.14550399780273,353.914400100708,io_bound,13
9.501717805862427,34.0,12,90.3,14.14157485961914,1.5105361938476562,890912.5678710938,634686.62890625,84.14632797241211,353.9149580001831,io_bound,14
10.299684286117554,22.4,12,90.3,14.13427734375,1.5178337097167969,890914.6875,634687.18359375,84.14632797241211,353.9153299331665,io_bound,15
10.935234785079956,13.6,12,90.3,14.126487731933594,1.5256233215332031,890917.0126953125,634690.51171875,84.14632797241211,353.9153299331665,io_bound,16
11.8245849609375,42.2,12,90.7,14.203876495361328,1.4482345581054688,890952.0810546875,634691.21875,84.15888023376465,353.9339437484741,io_bound,17
13.361687898635864,35.4,12,91.0,14.245155334472656,1.4069557189941406,890961.48828125,634691.6015625,84.17260551452637,353.9493656158447,io_bound,18
14.352542400360107,28.4,12,91.3,14.288993835449219,1.3631172180175781,890976.7451171875,634692.21875,84.17647361755371,353.960488319397,io_bound,19
15.179738283157349,15.9,12,91.5,14.319297790527344,1.3328132629394531,890986.2475585938,634692.47265625,84.1781234741211,353.9613275527954,io_bound,20
15.853670597076416,13.3,12,91.5,14.326942443847656,1.3251686096191406,890987.3051757812,634692.734375,84.18242645263672,353.9669427871704,io_bound,21
16.51353907585144,10.0,12,91.5,14.324657440185547,1.32745361328125,890990.1411132812,634697.78515625,84.18990993499756,353.9805107116699,io_bound,22
17.198199033737183,22.4,12,91.4,14.313835144042969,1.3382759094238281,890993.5971679688,634717.921875,84.19061374664307,353.9808654785156,io_bound,23
17.932919025421143,34.9,12,90.8,14.212963104248047,1.43914794921875,890994.7470703125,634717.9765625,84.19163417816162,353.98116397857666,io_bound,24
18.583930492401123,18.8,12,89.1,13.942893981933594,1.7092170715332031,890995.1220703125,634718.484375,84.19624042510986,353.98311614990234,io_bound,25
19.225104570388794,35.7,12,89.0,13.932754516601562,1.7193565368652344,890996.2236328125,634718.484375,84.20200443267822,353.9900712966919,io_bound,26
19.87665581703186,26.2,12,88.9,13.916736602783203,1.7353744506835938,890999.4150390625,634718.76171875,84.20795917510986,353.99205589294434,io_bound,27
20.59685516357422,31.3,12,88.5,13.849052429199219,1.8030586242675781,891002.1611328125,634718.76171875,84.2149076461792,354.00433444976807,io_bound,28
21.21915912628174,14.3,12,88.3,13.818233489990234,1.8338775634765625,891002.3486328125,634718.9140625,84.21669960021973,354.00591468811035,io_bound,29
21.853140830993652,32.2,12,88.2,13.801681518554688,1.8504295349121094,891003.3251953125,634719.421875,84.21746158599854,354.00636100769043,io_bound,30
22.477733612060547,23.8,12,88.0,13.778068542480469,1.8740425109863281,891005.0444335938,634719.671875,84.22025966644287,354.012188911438,io_bound,31
23.099996328353882,32.9,12,87.6,13.711341857910156,1.9407691955566406,891005.3920898438,634719.671875,84.2227144241333,354.01406383514404,io_bound,32
23.72550916671753,13.2,12,87.4,13.672969818115234,1.9791412353515625,891006.2084960938,634719.6953125,84.23605346679688,354.0278482437134,io_bound,33
24.354302644729614,13.9,12,86.8,13.592208862304688,2.0599021911621094,891006.2084960938,634719.6953125,84.23637962341309,354.02845668792725,io_bound,34
24.987017154693604,12.3,12,86.4,13.529773712158203,2.1223373413085938,891006.4506835938,634719.73828125,84.23637962341309,354.02851963043213,io_bound,35
25.6325626373291,18.0,12,86.8,13.5799560546875,2.072154998779297,891031.1040039062,634719.76171875,84.27976989746094,354.20606422424316,io_bound,36
